date,open,high,low,close,adj close,volume,company
2016-08-01,18434.500000,18467.029297,18355.750000,18404.509766,18404.509766,83470000,DJIA
2016-08-02,18401.150391,18403.650391,18247.789063,18313.769531,18313.769531,89680000,DJIA
2016-08-03,18313.080078,18355.000000,18283.230469,18355.000000,18355.000000,78550000,DJIA
2016-08-04,18351.429688,18397.869141,18325.169922,18352.050781,18352.050781,64500000,DJIA
2016-08-05,18402.800781,18543.529297,18402.800781,18543.529297,18543.529297,92420000,DJIA
2016-08-08,18541.890625,18569.310547,18502.029297,18529.289063,18529.289063,71810000,DJIA
2016-08-09,18538.050781,18585.320313,18507.750000,18533.050781,18533.050781,60090000,DJIA
2016-08-10,18541.480469,18561.750000,18468.779297,18495.660156,18495.660156,62780000,DJIA
2016-08-11,18519.080078,18638.339844,18519.080078,18613.519531,18613.519531,71470000,DJIA
2016-08-12,18595.650391,18606.060547,18535.859375,18576.470703,18576.470703,61580000,DJIA
2016-08-15,18588.589844,18722.609375,18559.929688,18636.050781,18636.050781,62350000,DJIA
2016-08-16,18614.480469,18614.859375,18550.650391,18552.019531,18552.019531,67570000,DJIA
2016-08-17,18537.089844,18582.349609,18468.679688,18573.939453,18573.939453,71000000,DJIA
2016-08-18,18566.539063,18600.820313,18533.289063,18597.699219,18597.699219,70740000,DJIA
2016-08-19,18585.169922,18585.169922,18491.240234,18552.570313,18552.570313,93170000,DJIA
2016-08-22,18535.859375,18570.919922,18466.859375,18529.419922,18529.419922,73450000,DJIA
2016-08-23,18568.939453,18631.599609,18545.519531,18547.300781,18547.300781,73990000,DJIA
2016-08-24,18537.500000,18539.150391,18448.269531,18481.480469,18481.480469,72270000,DJIA
2016-08-25,18471.210938,18497.679688,18431.460938,18448.410156,18448.410156,64480000,DJIA
2016-08-26,18467.919922,18572.089844,18335.339844,18395.400391,18395.400391,78730000,DJIA
2016-08-29,18421.289063,18523.089844,18419.919922,18502.990234,18502.990234,64480000,DJIA
2016-08-30,18491.279297,18514.289063,18408.519531,18454.300781,18454.300781,68920000,DJIA
2016-08-31,18436.699219,18439.679688,18333.560547,18400.880859,18400.880859,98250000,DJIA
2016-09-01,18396.570313,18430.050781,18295.480469,18419.300781,18419.300781,74780000,DJIA
2016-09-02,18466.009766,18544.759766,18439.099609,18491.960938,18491.960938,74350000,DJIA
2016-09-06,18493.400391,18551.539063,18450.320313,18538.119141,18538.119141,83710000,DJIA
2016-09-07,18527.710938,18536.890625,18474.769531,18526.140625,18526.140625,67570000,DJIA
2016-09-08,18486.689453,18506.240234,18446.689453,18479.910156,18479.910156,79060000,DJIA
2016-09-09,18404.169922,18404.169922,18085.449219,18085.449219,18085.449219,120670000,DJIA
2016-09-12,18028.949219,18358.689453,17994.839844,18325.070313,18325.070313,103260000,DJIA
2016-09-13,18262.990234,18262.990234,18028.060547,18066.750000,18066.750000,102830000,DJIA
2016-09-14,18073.390625,18163.480469,17992.210938,18034.769531,18034.769531,103360000,DJIA
2016-09-15,18024.910156,18250.109375,18015.490234,18212.480469,18212.480469,99550000,DJIA
2016-09-16,18217.210938,18217.210938,18070.210938,18123.800781,18123.800781,278510000,DJIA
2016-09-19,18154.820313,18254.880859,18093.050781,18120.169922,18120.169922,78090000,DJIA
2016-09-20,18175.359375,18227.210938,18128.800781,18129.960938,18129.960938,72450000,DJIA
2016-09-21,18164.960938,18307.429688,18121.570313,18293.699219,18293.699219,94090000,DJIA
2016-09-22,18343.759766,18449.880859,18343.759766,18392.460938,18392.460938,73030000,DJIA
2016-09-23,18377.359375,18383.759766,18254.839844,18261.449219,18261.449219,87170000,DJIA
2016-09-26,18217.759766,18217.759766,18083.320313,18094.830078,18094.830078,95510000,DJIA
2016-09-27,18099.210938,18238.099609,18052.160156,18228.300781,18228.300781,84130000,DJIA
2016-09-28,18240.220703,18349.859375,18179.339844,18339.240234,18339.240234,97650000,DJIA
2016-09-29,18322.880859,18366.230469,18091.640625,18143.449219,18143.449219,95880000,DJIA
2016-09-30,18181.800781,18369.619141,18181.800781,18308.150391,18308.150391,135470000,DJIA
2016-10-03,18279.599609,18279.800781,18203.750000,18253.849609,18253.849609,68520000,DJIA
2016-10-04,18267.679688,18313.769531,18116.259766,18168.449219,18168.449219,79710000,DJIA
2016-10-05,18205.500000,18315.820313,18205.500000,18281.029297,18281.029297,76190000,DJIA
2016-10-06,18280.419922,18288.119141,18162.970703,18268.500000,18268.500000,78660000,DJIA
2016-10-07,18295.349609,18319.730469,18149.349609,18240.490234,18240.490234,82680000,DJIA
