created_at,company,url,text,retweets,likes,id
2017-11-30 16:16:01,IBM,https://twitter.com/IBM/status/936267583078137856,"#TBT: In 1977, IBM developed the world's first mutually agreed-upon cryptographic algorithm to secure data 🔐. In 20… https://t.co/PknGlulGzj",41,58,936267583078137856
2017-11-30 03:34:28,IBM,https://twitter.com/IBM/status/936075932514656258,"@BenjaminWolfe Hi Benjamin, please share the issue you are having with IBM Support here: https://t.co/7atoB7FSEf",1,0,936075932514656258
2017-11-30 03:31:03,IBM,https://twitter.com/IBM/status/936075071398993920,@neylanddrive Watson services are available via the #IBMCloud: https://t.co/LCkDuYBTCt,0,0,936075071398993920
2017-11-30 03:28:01,IBM,https://twitter.com/IBM/status/936074309067345922,@wingsuitist 👍,0,0,936074309067345922
2017-11-30 03:00:08,IBM,https://twitter.com/IBM/status/936067291485261824,"Supply chain, finance, digital identity and more. @SeekingAlpha explores IBM's industry leadership in #blockchain:… https://t.co/RCZ3OF2nML",21,33,936067291485261824
2017-11-29 18:22:31,IBM,https://twitter.com/IBM/status/935937030726586368,@Newcolour78 @c3STC @IBMResearch @TEDTalks 👍,1,0,935937030726586368
2017-11-29 15:30:07,IBM,https://twitter.com/IBM/status/935893643218636805,#TEDatIBM is coming up on 12/6. Check out this year's speaker lineup and find out how to watch live:… https://t.co/hNS6Nfarvm,64,79,935893643218636805
2017-11-29 02:42:32,IBM,https://twitter.com/IBM/status/935700475730714624,"IBM's most prolific female inventor, @LisaSeacat discusses her career, her latest role and the key trends in #IoT:… https://t.co/oD4s0sNA1t",113,215,935700475730714624
2017-11-28 17:00:04,IBM,https://twitter.com/IBM/status/935553893693558784,IBM named Military Friendly's Employer of the Year for 2018: https://t.co/EQQwqZgGU4 https://t.co/ec5Mqx5XBE,103,210,935553893693558784
2017-11-28 02:30:00,IBM,https://twitter.com/IBM/status/935334934570512390,Could #blockchain accelerate international trade flows while improving security 🔐? More via @FT: https://t.co/fn5bOd2CDM,45,61,935334934570512390
