created_at,company,url,text,retweets,likes,id
2017-11-30 17:10:24,Nike,https://twitter.com/Nike/status/936281268844711936,@swavy_guerrero Thanks for reaching out. The Nike Air More Uptempo SE is exclusive to Big Kids' sizing. Let us know… https://t.co/8HgXB7ONqK,0,0,936281268844711936
2017-11-30 14:11:00,Nike,https://twitter.com/Nike/status/936236122165993473,@HmstrKenzie Any thoughts on this @NikeRunning ?,1,2,936236122165993473
2017-11-30 13:42:00,Nike,https://twitter.com/Nike/status/936228823787548674,"@sameersadhu From the shin down? Sure, you pull it off.",0,0,936228823787548674
2017-11-30 00:01:56,Nike,https://twitter.com/Nike/status/936022446817337344,"@Mindy_Kay15 Unfortunately, it does not. We recommend working back with the original retailer directly to discuss your options.",0,1,936022446817337344
2017-11-29 23:08:55,Nike,https://twitter.com/Nike/status/936009105625501696,"@Mindy_Kay15 Hey Mindy, sorry to hear that. Did you purchase the shoes from our site or one of our stores? If so, y… https://t.co/Ha2eU3yg1e",0,1,936009105625501696
2017-11-29 19:34:29,Nike,https://twitter.com/Nike/status/935955140149940224,@WakaFlokaBlanca We'll investigate this further. DM us your order number and we'll take a look at your account from… https://t.co/Z0Y6nwIFxf,0,0,935955140149940224
2017-11-29 19:03:26,Nike,https://twitter.com/Nike/status/935947328493584384,@flash77uk No info to share at this time. Stay tuned to @nikefootball for the latest.,0,0,935947328493584384
2017-11-29 18:35:00,Nike,https://twitter.com/Nike/status/935940171765374977,@AsadShaikh Please check your DMs for further assistance.,0,0,935940171765374977
2017-11-29 18:04:27,Nike,https://twitter.com/Nike/status/935932485304750080,"@AmyBartlett Hey Amy, great question. The Downshifter 7 is a running shoe with full-length foam cushioning and dura… https://t.co/EQ217TMC5J",0,0,935932485304750080
2017-11-29 16:17:29,Nike,https://twitter.com/Nike/status/935905564302901249,@JSoFabolous We have followed up with you via DM. Please continue the conversation there.,0,1,935905564302901249
2017-11-29 15:28:28,Nike,https://twitter.com/Nike/status/935893229538594816,@BINSANITY13 We move quicker to help you look slicker.,0,4,935893229538594816
2017-11-28 22:16:29,Nike,https://twitter.com/Nike/status/935633521066078208,@jumpmangg We have followed up with you via DM.,0,1,935633521066078208
2017-11-28 20:29:26,Nike,https://twitter.com/Nike/status/935606581508657153,@jumpmangg Thanks for reaching out. Can you send us a DM with your NikePlus email? We'd like to look into this for you.,0,1,935606581508657153
2017-11-28 18:51:51,Nike,https://twitter.com/Nike/status/935582025624547329,@DanGL62 Dedication pays off. Ready to go for 2k?,0,0,935582025624547329
2017-11-28 18:01:00,Nike,https://twitter.com/Nike/status/935569227729301506,"@Number_Nueve That can only mean one thing, @NikeTraining.",0,1,935569227729301506
2017-11-28 16:33:29,Nike,https://twitter.com/Nike/status/935547204999278592,"@taraourjourney To appropriately handle your experience, please contact us at 800.344.6453 (Monday-Friday, 7am-4pm… https://t.co/fnomrBx1ph",0,0,935547204999278592
2017-11-28 00:50:25,Nike,https://twitter.com/Nike/status/935309872282984448,"@QUEENA609 Sorry to hear this. Can you DM us your order number, NikePlus email and a few photos of the damage? We'l… https://t.co/L2qjE36MRy",0,0,935309872282984448
2017-11-27 23:00:30,Nike,https://twitter.com/Nike/status/935282211020005376,"@Etienne_Knoell Something's on the way, @nikefootball...",0,2,935282211020005376
2017-11-27 19:42:32,Nike,https://twitter.com/Nike/status/935232390745808897,@Grubbinator Ready to ball out? https://t.co/m2C4V4x2UC,0,1,935232390745808897
2017-11-27 17:49:56,Nike,https://twitter.com/Nike/status/935204054850031616,@CoryJennerjohn We've got the next best thing. https://t.co/XQzL3eWqlq,0,2,935204054850031616
2017-11-26 00:10:33,Nike,https://twitter.com/Nike/status/934575064535748608,@Full_Presence Ball out. https://t.co/W7iPCKfLHf,1,8,934575064535748608
2017-11-24 21:53:24,Nike,https://twitter.com/Nike/status/934178159674654720,@morgansmind1 Let's settle this. Send us a picture of the tag on the inside of the shoe and we'll let you know the official colorway.,1,1,934178159674654720
2017-11-23 21:47:30,Nike,https://twitter.com/Nike/status/933814289441452033,@CartmanUK29 Make them like new. | https://t.co/jrBak2LMsf,1,3,933814289441452033
2017-11-23 15:37:48,Nike,https://twitter.com/Nike/status/933721251574632454,@kcgiardina What do you think of this @NikeRunning ?,0,0,933721251574632454
2017-11-22 23:46:36,Nike,https://twitter.com/Nike/status/933481872054681602,@slboebel This is just the beginning. | https://t.co/XOBEx8xDnq https://t.co/E1rDnctIhY,1,4,933481872054681602
2017-11-22 23:05:40,Nike,https://twitter.com/Nike/status/933471573121617920,@k8tieflowa Look no further. https://t.co/czrPyohiv6,0,3,933471573121617920
2017-11-22 16:29:28,Nike,https://twitter.com/Nike/status/933371865464221697,@holmesphil4 We'll just leave this here. | https://t.co/BoQao9uHcE.,0,2,933371865464221697
2017-11-22 10:21:00,Nike,https://twitter.com/Nike/status/933279138458124288,"@Siyabonga_Stick Nike proactively approaches athletes, associations and clubs for endorsement, and therefore we don… https://t.co/esz0JEDenU",1,3,933279138458124288
2017-11-22 00:10:51,Nike,https://twitter.com/Nike/status/933125586968563712,@RipplinBuck Nice find. Take a look at this FAQ for cleaning instructions: https://t.co/cMqVFvVDHQ,0,1,933125586968563712
2017-11-21 21:05:03,Nike,https://twitter.com/Nike/status/933078830503280640,"RT @OBJ_3: Some things are NY made.
Others were made for NY. 
@Nike X OBJ X #AF1 https://t.co/E3X4UA0m90",2151,0,933078830503280640
2017-11-21 20:53:27,Nike,https://twitter.com/Nike/status/933075910722539520,@Word2MyLakers No news to share at this time. Keep it locked to the Lakers team page for updates. | https://t.co/aHsbUyvPUj.,0,1,933075910722539520
2017-11-21 17:09:56,Nike,https://twitter.com/Nike/status/933019660987109377,"@EddieJayy You hear that, @NikeTraining?",0,4,933019660987109377
2017-11-21 10:20:24,Nike,https://twitter.com/Nike/status/932916599765561349,"@DrewJSlocum Please allow 24 hours to receive your order confirmation. If you have further questions, please let us know.",0,0,932916599765561349
2017-11-21 00:59:57,Nike,https://twitter.com/Nike/status/932775555153440770,@benjamin_79 That's dedication we like to hear. Coach has a plan for every athlete. Check this link to take the nex… https://t.co/I0GdLGUmUM,0,1,932775555153440770
2017-11-21 00:49:36,Nike,https://twitter.com/Nike/status/932772950515777537,@benjamin_79 Always great to end the day with some miles. Are you training for anything? https://t.co/cR89jzuG2H,20,5,932772950515777537
2017-11-20 22:14:24,Nike,https://twitter.com/Nike/status/932733893102497794,@tanyaxxo Meet your upgrade. | https://t.co/UdS8SDN47z,0,1,932733893102497794
2017-11-20 18:31:24,Nike,https://twitter.com/Nike/status/932677775571537924,"@therealDJKING Our team is aware of this error message and we're digging deeper. Sizes are still available, go ahead and try again.",0,1,932677775571537924
2017-11-20 18:29:28,Nike,https://twitter.com/Nike/status/932677289988501505,"@tzoharr We're aware of this message and are looking into it. Keep trying, there are still sizes available.",1,3,932677289988501505
2017-11-20 18:24:27,Nike,https://twitter.com/Nike/status/932676024772513793,@thatsLITE Our team is aware and looking into this. Keep trying as sizes are still available.,1,0,932676024772513793
2017-11-20 18:23:29,Nike,https://twitter.com/Nike/status/932675783872696320,@TwerqWagen Our team is aware and looking into this. Keep trying as sizes are still available.,1,0,932675783872696320
2017-11-20 18:22:00,Nike,https://twitter.com/Nike/status/932675409048727554,@jayfiala Our team is aware and looking into this. Keep trying as sizes are still available.,1,2,932675409048727554
2017-11-20 18:21:30,Nike,https://twitter.com/Nike/status/932675282749751302,@SimShady1 Our team is aware and looking into this. Keep trying as sizes are still available.,2,0,932675282749751302
2017-11-20 12:05:56,Nike,https://twitter.com/Nike/status/932580769163284480,"@princejmc16 We appreciate your interest in Nike. At this time, we’re not currently accepting new business proposal… https://t.co/tvrgbfspXl",0,1,932580769163284480
2017-11-19 23:32:30,Nike,https://twitter.com/Nike/status/932391161448280070,@RunningHealthy_ We've got you. https://t.co/EUChv5uKZ1,2,2,932391161448280070
2017-11-19 18:34:25,Nike,https://twitter.com/Nike/status/932316145029468160,@YikesItsTooley Let's get to work. | https://t.co/G7bBqjnRBR,0,0,932316145029468160
2017-11-18 17:06:34,Nike,https://twitter.com/Nike/status/931931648827981824,@iFarex Time to break the tape. https://t.co/4saa959NoC,3,1,931931648827981824
2017-11-18 16:10:49,Nike,https://twitter.com/Nike/status/931917621255122944,@mscddc Customization is not available. Check out Nike Team to purchase backpacks for your team: https://t.co/NF4FFlVyvq,0,0,931917621255122944
2017-11-17 23:47:27,Nike,https://twitter.com/Nike/status/931670149333159936,@CleSnkrHd Welcome to the future.,0,3,931670149333159936
2017-11-17 23:07:30,Nike,https://twitter.com/Nike/status/931660092881108992,@AlexHWark Retired but not forgotten. Let's get you back up to speed. | https://t.co/PPBzGe6kBd,0,1,931660092881108992
2017-11-17 20:07:56,Nike,https://twitter.com/Nike/status/931614904406171648,"@Simo_Alves22 What is he waiting for, @nikesoccer?",1,3,931614904406171648
2017-11-17 18:00:39,Nike,https://twitter.com/Nike/status/931582872129015809,@Seandon_MDMRG Say no more. | https://t.co/5xhKov3m2z,0,0,931582872129015809
2017-11-17 17:56:53,Nike,https://twitter.com/Nike/status/931581924010754048,"@astrostarbright We like your passion. However, Nike World Headquarters (WHQ) is private property and not open to t… https://t.co/WLCS0kxWnb",0,1,931581924010754048
