date,company,likes,dislikes
2017-10-30,3M,52,0
2017-10-17,3M,146,0
2017-09-26,3M,75,0
2017-08-29,3M,60,0
2017-10-27,3M,67,0
2017-10-14,3M,36,0
2017-09-25,3M,43,0
2017-08-28,3M,67,0
2017-10-26,3M,36,0
2017-10-13,3M,44,0
2017-09-22,3M,95,0
2017-08-22,3M,65,0
2017-10-25,3M,33,0
2017-09-20,3M,82,0
2017-10-12,3M,64,0
2017-08-21,3M,59,0
2017-10-25,3M,29,0
2017-09-17,3M,48,0
2017-10-10,3M,26,0
2017-08-20,3M,75,0
2017-10-25,3M,21,0
2017-10-09,3M,149,0
2017-09-13,3M,86,0
2017-08-10,3M,99,1
2017-10-06,3M,47,0
2017-08-05,3M,113,0
2017-09-10,3M,102,0
2017-10-04,3M,38,0
2017-08-04,3M,109,0
2017-09-09,3M,80,0
2017-10-03,3M,63,0
2017-10-19,3M,41,0
2017-07-28,3M,425,1
2017-09-04,3M,49,0
2017-09-29,3M,66,0
2017-10-18,3M,658,0
2017-07-15,3M,173,0
2017-09-28,3M,66,0
2017-07-14,3M,152,0
2017-09-01,3M,38,0
2017-09-28,3M,39,0
2017-07-12,3M,1,1
2017-10-17,3M,118,0
2017-08-31,3M,79,0
2017-06-02,3M,0,0
2017-07-10,3M,110,0
2017-04-02,3M,192,0
2017-02-22,3M,128,0
2017-06-01,3M,1706,3
2017-02-21,3M,93,0
2017-03-29,3M,105,0
2017-03-24,3M,144,0
2017-02-17,3M,47,0
2017-05-18,3M,303,0
2017-06-21,3M,60,0
2017-03-21,3M,110,0
2017-02-16,3M,1,0
2017-06-21,3M,196,6
2017-05-10,3M,288,0
2017-03-18,3M,63,0
2017-02-14,3M,390,0
2017-05-04,3M,156,0
2017-06-20,3M,3225,2
2017-03-17,3M,104,0
2017-02-12,3M,121,0
2017-04-27,3M,381,0
2017-06-19,3M,93,0
2017-03-14,3M,104,0
2017-02-11,3M,1128,2
2017-06-15,3M,158,0
2017-04-15,3M,16991,10
2017-03-13,3M,233,0
2017-02-09,3M,211,0
2017-06-12,3M,67,0
2017-04-12,3M,233,0
2017-03-09,3M,86,0
2017-02-07,3M,110,0
2017-06-08,3M,3,0
2017-04-12,3M,920,1
2017-03-08,3M,387,2
2017-02-06,3M,111,0
2017-06-08,3M,287,0
2017-04-10,3M,8204,6
2017-02-25,3M,103,0
2017-02-03,3M,81,0
2017-06-05,3M,88,0
2017-04-06,3M,421,0
2017-02-01,3M,109,0
2017-06-04,3M,86,0
2017-01-31,3M,239,0
2016-12-18,3M,2,0
2016-11-13,3M,92,0
2016-10-18,3M,299,0
2017-01-22,3M,2,0
2016-12-17,3M,113,0
2016-11-11,3M,318,0
2016-10-17,3M,122,1
2017-01-18,3M,185,0
2016-11-11,3M,116,0
2016-12-16,3M,22299,5
2016-10-17,3M,102,0
2017-01-12,3M,105,0
2016-11-10,3M,82,0
2016-12-15,3M,555,0
2017-01-05,3M,170,0
2016-11-03,3M,1514,1
2016-12-12,3M,82,0
2016-10-11,3M,108,0
2017-01-04,3M,196,0
2016-11-02,3M,47,0
2016-10-10,3M,83,0
2016-12-30,3M,3,0
2016-11-01,3M,67,0
2016-12-01,3M,1090,1
2016-10-07,3M,147,0
2016-12-29,3M,1,0
2016-10-31,3M,64,0
2016-11-30,3M,188,0
2016-10-05,3M,136,0
2016-10-30,3M,191,1
2016-11-23,3M,73,0
2016-10-04,3M,55,0
2016-12-27,3M,1493,1
2016-10-28,3M,154,0
2016-11-22,3M,92,0
2016-12-26,3M,457,0
2016-10-22,3M,1540,1
2016-11-16,3M,155,0
2016-10-03,3M,55,0
2016-12-21,3M,18636,9
2016-10-20,3M,119,0
2016-11-15,3M,995,0
2016-10-01,3M,102,0
2016-09-30,3M,113,0
2016-09-17,3M,86,0
2016-08-31,3M,415,0
2016-08-11,3M,1023,1
2016-09-28,3M,55,0
2016-09-16,3M,78,0
2016-08-30,3M,110,1
2016-08-08,3M,657,2
2016-09-27,3M,431,0
2016-09-15,3M,35,0
2016-08-29,3M,142,0
2016-08-06,3M,95,1
2016-09-26,3M,161,0
2016-09-14,3M,92,0
2016-08-28,3M,97,0
2016-08-05,3M,289,0
2016-09-25,3M,59,0
2016-09-12,3M,1292,3
2016-08-23,3M,1004,1
2016-08-04,3M,521,1
2016-09-24,3M,56,0
2016-09-10,3M,143,0
2016-08-22,3M,60,0
2016-09-23,3M,86,0
2016-09-09,3M,80,0
2016-08-20,3M,215,0
2016-08-01,3M,246,0
2016-09-22,3M,627,0
2016-09-08,3M,110,0
2016-08-19,3M,217,0
2016-09-07,3M,268,0
2016-09-21,3M,96,0
2016-08-18,3M,2563,13
2016-09-06,3M,60,0
2016-09-21,3M,79,0
2016-08-15,3M,233,0
2016-09-05,3M,245,0
2016-09-19,3M,20,0
2016-08-14,3M,56,0
2016-09-03,3M,232,0
2016-09-19,3M,97,0
2016-08-12,3M,233,0
2017-10-30, American Express,128,0
2017-10-12, American Express,38,0
2017-09-16, American Express,99,0
2017-08-29, American Express,50,0
2017-10-30, American Express,95,0
2017-10-12, American Express,161,0
2017-08-29, American Express,237,0
2017-09-16, American Express,49,0
2017-10-11, American Express,30,0
2017-10-28, American Express,173,1
2017-08-27, American Express,162,2
2017-09-16, American Express,104,0
2017-10-27, American Express,93,0
2017-10-10, American Express,59,0
2017-08-26, American Express,94,0
2017-09-15, American Express,48,0
2017-10-26, American Express,31,0
2017-10-10, American Express,36,0
2017-08-25, American Express,50,0
2017-09-14, American Express,69,1
2017-10-26, American Express,51,0
2017-10-10, American Express,144,0
2017-09-13, American Express,173,2
2017-08-25, American Express,50,0
2017-10-26, American Express,61,0
2017-09-13, American Express,38,1
2017-08-24, American Express,45,0
2017-09-12, American Express,47,2
2017-10-06, American Express,62,0
2017-10-25, American Express,94,0
2017-08-23, American Express,90,0
2017-09-12, American Express,33,1
2017-10-05, American Express,37,0
2017-08-23, American Express,71,0
2017-09-12, American Express,45,1
2017-10-24, American Express,131,0
2017-10-05, American Express,175,3
2017-08-23, American Express,215,0
2017-10-04, American Express,75,0
2017-09-11, American Express,1607,188
2017-10-23, American Express,76,0
2017-08-22, American Express,51,0
2017-09-09, American Express,57,0
2017-10-23, American Express,74,0
2017-08-22, American Express,108,0
2017-10-04, American Express,48,1
2017-08-21, American Express,627,0
2017-09-09, American Express,2251,8
2017-10-03, American Express,69,0
2017-09-08, American Express,58,0
2017-08-19, American Express,135,0
2017-10-21, American Express,69,0
2017-10-01, American Express,92,0
2017-08-19, American Express,76,0
2017-09-07, American Express,89,2
2017-10-20, American Express,85,0
2017-09-30, American Express,167,0
2017-09-06, American Express,84,1
2017-08-18, American Express,34,0
2017-10-20, American Express,121,0
2017-09-30, American Express,68,0
2017-08-17, American Express,66,1
2017-10-20, American Express,181,0
2017-09-06, American Express,92,0
2017-09-29, American Express,53,0
2017-08-17, American Express,117,2
2017-09-05, American Express,126,1
2017-10-19, American Express,79,0
2017-09-29, American Express,93,0
2017-10-18, American Express,109,4
2017-08-16, American Express,124,1
2017-09-28, American Express,52,1
2017-08-15, American Express,245,0
2017-10-18, American Express,113,0
2017-09-04, American Express,73,1
2017-09-28, American Express,119,0
2017-08-12, American Express,97,0
2017-10-18, American Express,223,0
2017-09-03, American Express,111,0
2017-09-26, American Express,68,4
2017-10-17, American Express,31,0
2017-08-11, American Express,134,0
2017-09-02, American Express,148,1
2017-09-25, American Express,69,2
2017-08-10, American Express,48,0
2017-10-17, American Express,76,0
2017-09-01, American Express,162,1
2017-09-25, American Express,62,1
2017-08-09, American Express,39,0
2017-09-01, American Express,73,1
2017-09-23, American Express,89,1
2017-10-16, American Express,31,0
2017-08-08, American Express,58,0
2017-08-31, American Express,115,1
2017-09-21, American Express,45,1
