date,company,re_tweets,likes
2016-08-01,3M,58,186
2016-08-01,American Express,0,0
2016-08-01,Apple,0,0
2016-08-01,Boeing,49,105
2016-08-01,Caterpillar,7,29
2016-08-01,Chevron,75,60
2016-08-01,Cisco Systems,213,210
2016-08-01,Coca-Cola,0,0
2016-08-01,DowDuPont,0,0
2016-08-01,ExxonMobil,30,53
2016-08-01,General Electric,13,40
2016-08-01,Goldman Sachs,70,86
2016-08-01,IBM,0,0
2016-08-01,Intel,341,826
2016-08-01,Johnson & Johnson,18,0
2016-08-01,JPMorgan Chase,50,53
2016-08-01,McDonald's,0,0
2016-08-01,Merck,9,17
2016-08-01,Microsoft,421,576
2016-08-01,Nike,0,0
2016-08-01,Pfizer,37,55
2016-08-01,Procter & Gamble,0,0
2016-08-01,The Home Depot,16,0
2016-08-01,Travelers,123,16
2016-08-01,United Technologies,11,0
2016-08-01,UnitedHealth Group,9,15
2016-08-01,Verizon,0,0
2016-08-01,Visa,0,0
2016-08-01,Walmart,0,0
2016-08-01,Walt Disney,0,0
2016-08-02,3M,60,130
2016-08-02,American Express,0,0
2016-08-02,Apple,0,0
2016-08-02,Boeing,0,0
2016-08-02,Caterpillar,29,98
2016-08-02,Chevron,62,63
2016-08-02,Cisco Systems,135,84
2016-08-02,Coca-Cola,0,0
2016-08-02,DowDuPont,0,0
2016-08-02,ExxonMobil,52,79
2016-08-02,General Electric,110,193
2016-08-02,Goldman Sachs,37,31
2016-08-02,IBM,0,0
2016-08-02,Intel,27,45
2016-08-02,Johnson & Johnson,16,51
2016-08-02,JPMorgan Chase,9,12
2016-08-02,McDonald's,0,0
2016-08-02,Merck,36,59
2016-08-02,Microsoft,367,0
2016-08-02,Nike,0,0
2016-08-02,Pfizer,47,76
2016-08-02,Procter & Gamble,74,101
2016-08-02,The Home Depot,175,267
2016-08-02,Travelers,108,8
2016-08-02,United Technologies,71,26
2016-08-02,UnitedHealth Group,7,10
2016-08-02,Verizon,0,0
2016-08-02,Visa,0,0
2016-08-02,Walmart,0,0
2016-08-02,Walt Disney,385,0
2016-08-03,3M,23,72
2016-08-03,American Express,0,0
2016-08-03,Apple,0,0
2016-08-03,Boeing,345,0
2016-08-03,Caterpillar,21,37
2016-08-03,Chevron,18,14
2016-08-03,Cisco Systems,223,96
2016-08-03,Coca-Cola,0,0
2016-08-03,DowDuPont,0,0
2016-08-03,ExxonMobil,38,22
2016-08-03,General Electric,107,314
2016-08-03,Goldman Sachs,122,156
2016-08-03,IBM,0,0
2016-08-03,Intel,118,214
2016-08-03,Johnson & Johnson,45,81
2016-08-03,JPMorgan Chase,11,18
2016-08-03,McDonald's,0,0
2016-08-03,Merck,14,33
2016-08-03,Microsoft,147,135
2016-08-03,Nike,0,0
2016-08-03,Pfizer,32,64
2016-08-03,Procter & Gamble,0,0
2016-08-03,The Home Depot,0,0
2016-08-03,Travelers,113,48
2016-08-03,United Technologies,41,22
2016-08-03,UnitedHealth Group,3,20
2016-08-03,Verizon,0,0
2016-08-03,Visa,0,0
2016-08-03,Walmart,0,0
2016-08-03,Walt Disney,56,0
2016-08-04,3M,135,377
2016-08-04,American Express,0,0
2016-08-04,Apple,0,0
2016-08-04,Boeing,0,0
2016-08-04,Caterpillar,12,49
2016-08-04,Chevron,23,37
2016-08-04,Cisco Systems,262,284
2016-08-04,Coca-Cola,0,0
2016-08-04,DowDuPont,0,0
2016-08-04,ExxonMobil,27,42
2016-08-04,General Electric,118,143
2016-08-04,Goldman Sachs,181,229
2016-08-04,IBM,0,0
2016-08-04,Intel,0,0
2016-08-04,Johnson & Johnson,22,50
2016-08-04,JPMorgan Chase,19,34
2016-08-04,McDonald's,0,0
2016-08-04,Merck,4,0
2016-08-04,Microsoft,722,902
2016-08-04,Nike,0,0
2016-08-04,Pfizer,24,40
2016-08-04,Procter & Gamble,18,19
2016-08-04,The Home Depot,0,0
2016-08-04,Travelers,55,29
2016-08-04,United Technologies,0,0
2016-08-04,UnitedHealth Group,10,38
2016-08-04,Verizon,0,0
2016-08-04,Visa,0,0
2016-08-04,Walmart,0,0
2016-08-04,Walt Disney,47,0
2016-08-05,3M,41,185
2016-08-05,American Express,0,0
2016-08-05,Apple,0,0
2016-08-05,Boeing,77,193
2016-08-05,Caterpillar,10,30
2016-08-05,Chevron,23,22
2016-08-05,Cisco Systems,68,91
2016-08-05,Coca-Cola,0,0
2016-08-05,DowDuPont,0,0
2016-08-05,ExxonMobil,791,3741
2016-08-05,General Electric,166,247
2016-08-05,Goldman Sachs,81,117
2016-08-05,IBM,0,0
2016-08-05,Intel,351,1703
2016-08-05,Johnson & Johnson,15,11
2016-08-05,JPMorgan Chase,62,149
2016-08-05,McDonald's,0,0
2016-08-05,Merck,105,163
2016-08-05,Microsoft,694,268
2016-08-05,Nike,0,0
2016-08-05,Pfizer,37,62
2016-08-05,Procter & Gamble,102,133
2016-08-05,The Home Depot,35,62
2016-08-05,Travelers,48,32
2016-08-05,United Technologies,45,0
2016-08-05,UnitedHealth Group,3,14
2016-08-05,Verizon,0,0
2016-08-05,Visa,0,0
2016-08-05,Walmart,0,0
2016-08-05,Walt Disney,1286,578
2016-08-06,3M,18,83
2016-08-06,American Express,0,0
2016-08-06,Apple,0,0
2016-08-06,Boeing,0,0
2016-08-06,Caterpillar,9,51
2016-08-06,Chevron,0,0
2016-08-06,Cisco Systems,42,37
2016-08-06,Coca-Cola,0,0
2016-08-06,DowDuPont,0,0
2016-08-06,ExxonMobil,23,35
2016-08-06,General Electric,0,0
2016-08-06,Goldman Sachs,24,35
2016-08-06,IBM,0,0
2016-08-06,Intel,0,0
2016-08-06,Johnson & Johnson,0,0
2016-08-06,JPMorgan Chase,13,62
2016-08-06,McDonald's,0,0
2016-08-06,Merck,19,33
2016-08-06,Microsoft,0,0
2016-08-06,Nike,0,0
2016-08-06,Pfizer,32,53
2016-08-06,Procter & Gamble,65,85
2016-08-06,The Home Depot,0,0
2016-08-06,Travelers,48,10
2016-08-06,United Technologies,0,0
2016-08-06,UnitedHealth Group,0,0
2016-08-06,Verizon,0,0
2016-08-06,Visa,0,0
2016-08-06,Walmart,0,0
2016-08-06,Walt Disney,105,323
2016-08-07,3M,11,18
2016-08-07,American Express,0,0
2016-08-07,Apple,0,0
2016-08-07,Boeing,0,0
2016-08-07,Caterpillar,15,39
2016-08-07,Chevron,0,0
2016-08-07,Cisco Systems,0,0
2016-08-07,Coca-Cola,0,0
2016-08-07,DowDuPont,0,0
2016-08-07,ExxonMobil,30,57
2016-08-07,General Electric,0,0
2016-08-07,Goldman Sachs,11,13
2016-08-07,IBM,0,0
2016-08-07,Intel,0,0
2016-08-07,Johnson & Johnson,0,0
2016-08-07,JPMorgan Chase,0,0
2016-08-07,McDonald's,0,0
2016-08-07,Merck,0,0
2016-08-07,Microsoft,0,0
2016-08-07,Nike,0,0
2016-08-07,Pfizer,43,52
2016-08-07,Procter & Gamble,8,0
2016-08-07,The Home Depot,0,0
2016-08-07,Travelers,78,13
2016-08-07,United Technologies,0,0
2016-08-07,UnitedHealth Group,0,0
2016-08-07,Verizon,0,0
2016-08-07,Visa,0,0
2016-08-07,Walmart,0,0
2016-08-07,Walt Disney,9989,1471
2016-08-08,3M,32,72
2016-08-08,American Express,0,0
2016-08-08,Apple,0,0
2016-08-08,Boeing,0,0
2016-08-08,Caterpillar,18,66
2016-08-08,Chevron,47,57
2016-08-08,Cisco Systems,142,61
2016-08-08,Coca-Cola,0,0
2016-08-08,DowDuPont,0,0
2016-08-08,ExxonMobil,621,2906
2016-08-08,General Electric,16,28
2016-08-08,Goldman Sachs,68,62
2016-08-08,IBM,0,0
2016-08-08,Intel,0,0
2016-08-08,Johnson & Johnson,12,9
2016-08-08,JPMorgan Chase,22,34
2016-08-08,McDonald's,0,0
2016-08-08,Merck,23,44
2016-08-08,Microsoft,168,381
2016-08-08,Nike,0,0
2016-08-08,Pfizer,32,59
2016-08-08,Procter & Gamble,62,0
2016-08-08,The Home Depot,0,0
2016-08-08,Travelers,29,18
2016-08-08,United Technologies,17,0
2016-08-08,UnitedHealth Group,3,7
2016-08-08,Verizon,0,0
2016-08-08,Visa,0,0
2016-08-08,Walmart,0,0
2016-08-08,Walt Disney,1451,0
2016-08-09,3M,12,26
2016-08-09,American Express,0,0
2016-08-09,Apple,0,0
2016-08-09,Boeing,86,177
2016-08-09,Caterpillar,11,32
2016-08-09,Chevron,27,31
2016-08-09,Cisco Systems,42,44
2016-08-09,Coca-Cola,0,0
2016-08-09,DowDuPont,0,0
2016-08-09,ExxonMobil,37,57
2016-08-09,General Electric,0,0
2016-08-09,Goldman Sachs,66,58
2016-08-09,IBM,0,0
2016-08-09,Intel,79,0
2016-08-09,Johnson & Johnson,32,17
2016-08-09,JPMorgan Chase,21,33
2016-08-09,McDonald's,0,0
2016-08-09,Merck,7,25
2016-08-09,Microsoft,154,693
2016-08-09,Nike,0,0
2016-08-09,Pfizer,96,99
2016-08-09,Procter & Gamble,73,23
2016-08-09,The Home Depot,13,11
2016-08-09,Travelers,52,21
2016-08-09,United Technologies,2,9
2016-08-09,UnitedHealth Group,4,8
2016-08-09,Verizon,0,0
2016-08-09,Visa,7,21
2016-08-09,Walmart,0,0
2016-08-09,Walt Disney,7035,1177
2016-08-10,3M,38,98
2016-08-10,American Express,0,0
2016-08-10,Apple,0,0
2016-08-10,Boeing,0,0
2016-08-10,Caterpillar,37,22
2016-08-10,Chevron,25,31
2016-08-10,Cisco Systems,77,91
2016-08-10,Coca-Cola,0,0
2016-08-10,DowDuPont,0,0
2016-08-10,ExxonMobil,901,4981
2016-08-10,General Electric,30,47
2016-08-10,Goldman Sachs,123,92
2016-08-10,IBM,0,0
2016-08-10,Intel,0,0
2016-08-10,Johnson & Johnson,5,0
2016-08-10,JPMorgan Chase,5,14
2016-08-10,McDonald's,0,0
2016-08-10,Merck,3,6
2016-08-10,Microsoft,234,440
2016-08-10,Nike,0,0
2016-08-10,Pfizer,86,93
2016-08-10,Procter & Gamble,83,38
2016-08-10,The Home Depot,13,22
2016-08-10,Travelers,27,22
2016-08-10,United Technologies,5,0
2016-08-10,UnitedHealth Group,3,15
2016-08-10,Verizon,0,0
2016-08-10,Visa,0,0
2016-08-10,Walmart,0,0
2016-08-10,Walt Disney,734,1144
2016-08-11,3M,68,316
2016-08-11,American Express,0,0
2016-08-11,Apple,0,0
2016-08-11,Boeing,181,260
2016-08-11,Caterpillar,6,73
2016-08-11,Chevron,50,45
2016-08-11,Cisco Systems,113,26
2016-08-11,Coca-Cola,0,0
2016-08-11,DowDuPont,0,0
2016-08-11,ExxonMobil,26,46
2016-08-11,General Electric,21,47
2016-08-11,Goldman Sachs,116,203
2016-08-11,IBM,0,0
2016-08-11,Intel,139,492
2016-08-11,Johnson & Johnson,9,8
2016-08-11,JPMorgan Chase,12,40
2016-08-11,McDonald's,0,0
2016-08-11,Merck,29,18
2016-08-11,Microsoft,0,0
2016-08-11,Nike,0,0
2016-08-11,Pfizer,29,60
2016-08-11,Procter & Gamble,77,53
2016-08-11,The Home Depot,19,37
2016-08-11,Travelers,20,26
2016-08-11,United Technologies,20,28
2016-08-11,UnitedHealth Group,2,7
2016-08-11,Verizon,0,0
2016-08-11,Visa,0,0
2016-08-11,Walmart,0,0
2016-08-11,Walt Disney,770,0
2016-08-12,3M,55,94
2016-08-12,American Express,0,0
2016-08-12,Apple,0,0
2016-08-12,Boeing,132,0
2016-08-12,Caterpillar,34,163
2016-08-12,Chevron,14,19
2016-08-12,Cisco Systems,42,26
2016-08-12,Coca-Cola,0,0
2016-08-12,DowDuPont,0,0
2016-08-12,ExxonMobil,51,178
2016-08-12,General Electric,0,0
2016-08-12,Goldman Sachs,107,82
2016-08-12,IBM,0,0
2016-08-12,Intel,0,0
2016-08-12,Johnson & Johnson,0,0
2016-08-12,JPMorgan Chase,34,83
2016-08-12,McDonald's,0,0
2016-08-12,Merck,20,43
2016-08-12,Microsoft,73,173
2016-08-12,Nike,0,0
2016-08-12,Pfizer,15,17
2016-08-12,Procter & Gamble,390,0
2016-08-12,The Home Depot,0,0
2016-08-12,Travelers,31,17
2016-08-12,United Technologies,4,0
2016-08-12,UnitedHealth Group,12,18
2016-08-12,Verizon,0,0
2016-08-12,Visa,0,0
2016-08-12,Walmart,0,0
2016-08-12,Walt Disney,69356,0
2016-08-13,3M,16,42
2016-08-13,American Express,0,0
2016-08-13,Apple,0,0
2016-08-13,Boeing,0,0
2016-08-13,Caterpillar,0,0
2016-08-13,Chevron,0,0
2016-08-13,Cisco Systems,23,23
2016-08-13,Coca-Cola,0,0
2016-08-13,DowDuPont,0,0
2016-08-13,ExxonMobil,18,43
2016-08-13,General Electric,0,0
2016-08-13,Goldman Sachs,46,52
2016-08-13,IBM,0,0
2016-08-13,Intel,0,0
2016-08-13,Johnson & Johnson,0,0
2016-08-13,JPMorgan Chase,5,13
2016-08-13,McDonald's,0,0
2016-08-13,Merck,0,0
2016-08-13,Microsoft,0,0
2016-08-13,Nike,0,0
2016-08-13,Pfizer,24,38
2016-08-13,Procter & Gamble,39,0
2016-08-13,The Home Depot,26,44
2016-08-13,Travelers,2,6
2016-08-13,United Technologies,12,0
2016-08-13,UnitedHealth Group,0,0
2016-08-13,Verizon,0,0
2016-08-13,Visa,0,0
2016-08-13,Walmart,0,0
2016-08-13,Walt Disney,467,710
2016-08-14,3M,12,35
2016-08-14,American Express,0,0
2016-08-14,Apple,0,0
2016-08-14,Boeing,0,0
2016-08-14,Caterpillar,6,17
2016-08-14,Chevron,0,0
2016-08-14,Cisco Systems,0,0
2016-08-14,Coca-Cola,0,0
2016-08-14,DowDuPont,0,0
2016-08-14,ExxonMobil,18,33
2016-08-14,General Electric,0,0
2016-08-14,Goldman Sachs,35,93
2016-08-14,IBM,0,0
2016-08-14,Intel,0,0
2016-08-14,Johnson & Johnson,0,0
2016-08-14,JPMorgan Chase,0,0
2016-08-14,McDonald's,0,0
2016-08-14,Merck,0,0
2016-08-14,Microsoft,0,0
2016-08-14,Nike,0,0
2016-08-14,Pfizer,19,38
2016-08-14,Procter & Gamble,18,0
2016-08-14,The Home Depot,0,0
2016-08-14,Travelers,34,27
2016-08-14,United Technologies,4,0
2016-08-14,UnitedHealth Group,0,0
2016-08-14,Verizon,0,0
2016-08-14,Visa,0,0
2016-08-14,Walmart,0,0
2016-08-14,Walt Disney,171,330
2016-08-15,3M,58,162
2016-08-15,American Express,0,0
2016-08-15,Apple,0,0
2016-08-15,Boeing,0,0
2016-08-15,Caterpillar,1,13
2016-08-15,Chevron,0,0
2016-08-15,Cisco Systems,73,68
2016-08-15,Coca-Cola,0,0
2016-08-15,DowDuPont,0,0
2016-08-15,ExxonMobil,36,59
2016-08-15,General Electric,45,91
2016-08-15,Goldman Sachs,77,54
2016-08-15,IBM,0,0
2016-08-15,Intel,124,458
2016-08-15,Johnson & Johnson,7,9
2016-08-15,JPMorgan Chase,108,132
2016-08-15,McDonald's,0,0
2016-08-15,Merck,17,5
2016-08-15,Microsoft,332,609
2016-08-15,Nike,0,0
2016-08-15,Pfizer,17,25
2016-08-15,Procter & Gamble,34,18
2016-08-15,The Home Depot,12,28
2016-08-15,Travelers,46,32
2016-08-15,United Technologies,0,0
2016-08-15,UnitedHealth Group,29,171
2016-08-15,Verizon,0,0
2016-08-15,Visa,0,0
2016-08-15,Walmart,0,0
2016-08-15,Walt Disney,750,0
2016-08-16,3M,14,53
2016-08-16,American Express,0,0
2016-08-16,Apple,0,0
2016-08-16,Boeing,423,768
2016-08-16,Caterpillar,12,21
2016-08-16,Chevron,21,18
2016-08-16,Cisco Systems,80,86
2016-08-16,Coca-Cola,0,0
2016-08-16,DowDuPont,0,0
2016-08-16,ExxonMobil,51,78
2016-08-16,General Electric,0,0
2016-08-16,Goldman Sachs,91,83
2016-08-16,IBM,0,0
2016-08-16,Intel,1725,2686
2016-08-16,Johnson & Johnson,0,0
2016-08-16,JPMorgan Chase,58,131
2016-08-16,McDonald's,0,0
2016-08-16,Merck,11,35
2016-08-16,Microsoft,513,958
2016-08-16,Nike,0,0
2016-08-16,Pfizer,13,33
2016-08-16,Procter & Gamble,20,18
2016-08-16,The Home Depot,358,912
2016-08-16,Travelers,48,17
2016-08-16,United Technologies,10,0
2016-08-16,UnitedHealth Group,0,0
2016-08-16,Verizon,0,0
2016-08-16,Visa,0,0
2016-08-16,Walmart,0,0
2016-08-16,Walt Disney,94,0
2016-08-17,3M,10,30
2016-08-17,American Express,0,0
2016-08-17,Apple,0,0
2016-08-17,Boeing,32,0
2016-08-17,Caterpillar,50,130
2016-08-17,Chevron,0,0
2016-08-17,Cisco Systems,452,344
2016-08-17,Coca-Cola,0,0
2016-08-17,DowDuPont,0,0
2016-08-17,ExxonMobil,143,167
2016-08-17,General Electric,80,136
2016-08-17,Goldman Sachs,130,59
2016-08-17,IBM,0,0
2016-08-17,Intel,946,866
2016-08-17,Johnson & Johnson,4,17
2016-08-17,JPMorgan Chase,19,0
2016-08-17,McDonald's,0,0
2016-08-17,Merck,7,31
2016-08-17,Microsoft,36,0
2016-08-17,Nike,0,0
2016-08-17,Pfizer,43,65
2016-08-17,Procter & Gamble,9,0
2016-08-17,The Home Depot,78,207
2016-08-17,Travelers,11,6
2016-08-17,United Technologies,10,22
2016-08-17,UnitedHealth Group,12,19
2016-08-17,Verizon,0,0
2016-08-17,Visa,0,0
2016-08-17,Walmart,0,0
2016-08-17,Walt Disney,40,0
2016-08-18,3M,17,31
2016-08-18,American Express,0,0
2016-08-18,Apple,0,0
2016-08-18,Boeing,123,240
2016-08-18,Caterpillar,9,25
2016-08-18,Chevron,25,32
2016-08-18,Cisco Systems,37,37
2016-08-18,Coca-Cola,0,0
2016-08-18,DowDuPont,0,0
2016-08-18,ExxonMobil,87,114
2016-08-18,General Electric,58,74
2016-08-18,Goldman Sachs,163,74
2016-08-18,IBM,0,0
2016-08-18,Intel,836,1410
2016-08-18,Johnson & Johnson,15,6
2016-08-18,JPMorgan Chase,51,95
2016-08-18,McDonald's,0,0
2016-08-18,Merck,0,0
2016-08-18,Microsoft,342,175
2016-08-18,Nike,0,0
2016-08-18,Pfizer,24,39
2016-08-18,Procter & Gamble,11,0
2016-08-18,The Home Depot,24,64
2016-08-18,Travelers,31,21
2016-08-18,United Technologies,53,58
2016-08-18,UnitedHealth Group,8,0
2016-08-18,Verizon,0,0
2016-08-18,Visa,0,0
2016-08-18,Walmart,0,0
2016-08-18,Walt Disney,1230,1131
2016-08-19,3M,50,132
2016-08-19,American Express,0,0
2016-08-19,Apple,0,0
2016-08-19,Boeing,108,0
2016-08-19,Caterpillar,13,43
2016-08-19,Chevron,7,6
2016-08-19,Cisco Systems,99,99
2016-08-19,Coca-Cola,0,0
2016-08-19,DowDuPont,0,0
2016-08-19,ExxonMobil,48,117
2016-08-19,General Electric,61,59
2016-08-19,Goldman Sachs,240,86
2016-08-19,IBM,0,0
2016-08-19,Intel,91,127
2016-08-19,Johnson & Johnson,0,0
2016-08-19,JPMorgan Chase,38,65
2016-08-19,McDonald's,0,0
2016-08-19,Merck,25,46
2016-08-19,Microsoft,0,0
2016-08-19,Nike,0,0
2016-08-19,Pfizer,19,11
2016-08-19,Procter & Gamble,20,18
2016-08-19,The Home Depot,0,0
2016-08-19,Travelers,208,355
2016-08-19,United Technologies,172,119
2016-08-19,UnitedHealth Group,9,17
2016-08-19,Verizon,0,0
2016-08-19,Visa,0,0
2016-08-19,Walmart,0,0
2016-08-19,Walt Disney,1948,0
2016-08-20,3M,47,129
2016-08-20,American Express,0,0
2016-08-20,Apple,0,0
2016-08-20,Boeing,0,0
2016-08-20,Caterpillar,5,15
2016-08-20,Chevron,0,0
2016-08-20,Cisco Systems,10,9
2016-08-20,Coca-Cola,0,0
2016-08-20,DowDuPont,0,0
2016-08-20,ExxonMobil,0,0
2016-08-20,General Electric,0,0
2016-08-20,Goldman Sachs,0,0
2016-08-20,IBM,0,0
2016-08-20,Intel,0,0
2016-08-20,Johnson & Johnson,0,0
2016-08-20,JPMorgan Chase,0,0
2016-08-20,McDonald's,0,0
2016-08-20,Merck,0,0
2016-08-20,Microsoft,0,0
2016-08-20,Nike,0,0
2016-08-20,Pfizer,59,106
2016-08-20,Procter & Gamble,47,0
2016-08-20,The Home Depot,0,0
2016-08-20,Travelers,60,38
2016-08-20,United Technologies,2,4
2016-08-20,UnitedHealth Group,0,0
2016-08-20,Verizon,0,0
2016-08-20,Visa,0,0
2016-08-20,Walmart,0,0
2016-08-20,Walt Disney,86,357
2016-08-21,3M,11,31
2016-08-21,American Express,0,0
2016-08-21,Apple,0,0
2016-08-21,Boeing,0,0
2016-08-21,Caterpillar,14,54
2016-08-21,Chevron,0,0
2016-08-21,Cisco Systems,139,182
2016-08-21,Coca-Cola,0,0
2016-08-21,DowDuPont,0,0
2016-08-21,ExxonMobil,38,64
2016-08-21,General Electric,0,0
2016-08-21,Goldman Sachs,20,42
2016-08-21,IBM,0,0
2016-08-21,Intel,0,0
2016-08-21,Johnson & Johnson,0,0
2016-08-21,JPMorgan Chase,0,0
2016-08-21,McDonald's,0,0
2016-08-21,Merck,0,0
2016-08-21,Microsoft,0,0
2016-08-21,Nike,0,0
2016-08-21,Pfizer,11,17
2016-08-21,Procter & Gamble,0,0
2016-08-21,The Home Depot,0,0
2016-08-21,Travelers,86,0
2016-08-21,United Technologies,0,0
2016-08-21,UnitedHealth Group,0,0
2016-08-21,Verizon,0,0
2016-08-21,Visa,0,0
2016-08-21,Walmart,0,0
2016-08-21,Walt Disney,0,0
2016-08-22,3M,38,78
2016-08-22,American Express,0,0
2016-08-22,Apple,0,0
2016-08-22,Boeing,0,0
2016-08-22,Caterpillar,10,21
2016-08-22,Chevron,23,17
2016-08-22,Cisco Systems,384,142
2016-08-22,Coca-Cola,0,0
2016-08-22,DowDuPont,0,0
2016-08-22,ExxonMobil,47,78
2016-08-22,General Electric,318,1042
2016-08-22,Goldman Sachs,62,39
2016-08-22,IBM,0,0
2016-08-22,Intel,0,0
2016-08-22,Johnson & Johnson,12,14
2016-08-22,JPMorgan Chase,33,65
2016-08-22,McDonald's,0,0
2016-08-22,Merck,19,67
2016-08-22,Microsoft,428,0
2016-08-22,Nike,0,0
2016-08-22,Pfizer,36,52
2016-08-22,Procter & Gamble,242,32
2016-08-22,The Home Depot,5,0
2016-08-22,Travelers,69,79
2016-08-22,United Technologies,10,0
2016-08-22,UnitedHealth Group,8,20
2016-08-22,Verizon,0,0
2016-08-22,Visa,0,0
2016-08-22,Walmart,0,0
2016-08-22,Walt Disney,1019,4369
2016-08-23,3M,26,82
2016-08-23,American Express,0,0
2016-08-23,Apple,0,0
2016-08-23,Boeing,34,84
